Name,Color,Rarity,# GP,% GP,GP WR,# OH,OH WR,power_level
Mist Raven,U,C,6484,83.5,57.7,1103,60.7%,3
Lunarch Mantle,W,C,38924,37.1,57.7,6144,57.6%,1
Apothecary Geist,W,C,64293,59.2,57.5,10655,56.2%,2
Guardian of Pilgrims,W,C,78692,69.0,57.5,13957,57.3%,2
Dauntless Cathar,W,C,103023,84.6,57.5,18049,57.4%,3
"Odric, Lunarch Marshal",W,R,10696,87.0,57.3,1765,57.2%,3
Spectral Shepherd,W,U,23218,61.2,57.3,4069,56.4%,2
Spell Queller,WU,R,8334,66.0,57.3,1468,63.0%,2
"Thalia, Heretic Cathar",W,R,10960,87.2,57.2,1943,60.8%,3
Vampiric Fury,R,C,13895,35.4,57.2,2088,56.0%,1
Bloodhall Priest,BR,R,8852,74.1,57.1,1483,61.0%,2
Gryff's Boon,W,U,31192,77.6,57.1,5076,56.2%,3
Collective Effort,W,R,10980,86.4,57.1,1722,55.3%,3
"Sigarda, Heron's Grace",WG,M,5360,83.7,57.1,897,60.2%,3
Indulgent Aristocrat,B,U,23577,64.8,57.0,4218,60.9%,2
Tireless Tracker,G,R,11893,89.6,57.0,2179,62.7%,3
Blessed Alliance,W,U,24518,72.5,56.9,4076,54.7%,2
Thalia's Lancers,W,R,9603,77.2,56.9,1514,59.1%,3
Veteran Cathar,G,U,32930,74.4,56.9,5817,57.1%,2
Nebelgast Herald,U,U,32160,77.2,56.9,5603,59.4%,3
Bound by Moonsilver,W,C,99551,87.3,56.8,16657,55.8%,3
Angelic Purge,W,C,85511,74.2,56.8,13493,55.7%,2
Sigardian Priest,W,C,83407,75.6,56.8,14712,55.9%,3
Drogskol Shieldmate,W,C,56169,55.3,56.8,9611,56.9%,1
Angel of Flight Alabaster,W,R,4689,84.3,56.8,729,54.9%,3
Always Watching,W,R,11245,87.8,56.7,1966,59.6%,3
Silent Departure,U,C,40860,80.1,56.6,6936,56.3%,3
Descend upon the Sinful,W,M,4988,75.7,56.6,785,60.4%,3
Hamlet Captain,G,U,32068,81.0,56.5,5767,58.2%,3
Mayor of Avabruck,G,R,5673,90.1,56.5,1045,63.3%,3
Rally the Peasants,W,U,3036,22.7,56.5,463,,1
Avacyn's Collar,,U,10202,61.0,56.4,1796,56.0%,1
Immerwolf,RG,U,9519,67.8,56.4,1632,57.1%,2
Devils' Playground,R,R,10566,75.5,56.4,1631,58.3%,3
Hanweir Garrison,R,R,17191,84.2,56.3,3099,63.9%,3
Mystic Retrieval,U,U,9318,52.3,56.3,1471,55.1%,1
Skirsdag High Priest,B,R,2367,83.8,56.3,448,,3
Noose Constrictor,G,U,39717,79.2,56.3,7106,59.5%,3
Butcher's Cleaver,,U,11697,65.2,56.3,1884,55.1%,2
Steadfast Cathar,W,C,69046,64.6,56.3,12407,56.0%,2
Neglected Heirloom,,U,17137,49.3,56.3,2887,58.3%,1
Galvanic Bombardment,R,C,105224,87.2,56.3,18345,58.6%,3
Spider Spawning,G,U,14393,73.4,56.2,2300,55.7%,2
True-Faith Censer,,C,46977,45.4,56.2,7975,53.7%,1
Feeling of Dread,W,C,10882,28.2,56.1,1697,50.4%,1
Intrepid Provisioner,G,C,55604,53.5,56.1,8748,55.6%,1
Zealous Conscripts,R,R,2239,80.1,56.1,357,,3
Declaration in Stone,W,R,9424,83.9,56.1,1665,58.1%,3
Stromkirk Occultist,R,U,32703,85.4,56.1,5664,58.7%,3
Incendiary Flow,R,C,103132,88.9,56.0,18097,56.7%,3
Tattered Haunter,U,C,66228,65.0,56.0,11864,58.0%,2
Collective Defiance,R,R,10664,86.1,55.9,1831,56.5%,2
Duskwatch Recruiter,G,U,37576,90.7,55.9,6861,60.2%,2
Rattlechains,U,R,9699,76.9,55.9,1730,59.1%,2
Battleground Geist,U,C,20292,54.5,55.9,3117,54.5%,1
Travel Preparations,G,C,30424,65.6,55.9,4984,54.8%,2
Faithless Looting,R,C,24431,67.1,55.9,4261,54.8%,2
Sin Prodder,R,R,10677,85.8,55.9,1944,59.3%,2
Forbidden Alchemy,U,C,23676,50.5,55.8,4056,56.3%,1
Furyblade Vampire,R,U,28607,76.1,55.8,5073,58.7%,2
Borrowed Grace,W,C,18585,20.6,55.7,2713,54.2%,1
Galvanic Juggernaut,,U,6213,72.0,55.7,1020,59.7%,2
Dark Salvation,B,R,11293,85.5,55.7,1833,61.5%,2
Lightning Axe,R,U,32897,85.9,55.6,5488,57.5%,2
Fortified Village,,U,27975,68.8,55.6,5257,57.7%,2
Pack Guardian,G,U,35970,86.4,55.6,5921,57.2%,2
Moonlight Hunt,G,C,40163,44.3,55.6,6443,55.9%,1
Slayer's Plate,,R,10303,85.2,55.6,1672,56.1%,2
Devilthorn Fox,W,C,29268,29.2,55.6,5191,55.6%,1
Ironclad Slayer,W,U,19261,53.6,55.6,3120,53.0%,1
Bloodmad Vampire,R,C,66973,73.4,55.6,11548,56.6%,2
Stromkirk Condemned,B,R,8107,71.0,55.6,1460,56.9%,2
Olivia's Dragoon,B,C,79247,75.5,55.6,14340,58.4%,2
Olivia's Bloodsworn,B,U,24532,70.5,55.5,4438,57.8%,2
Fiery Temper,R,U,35547,89.4,55.5,6121,55.7%,2
Avacyn's Judgment,R,R,10807,86.3,55.4,1958,56.8%,2
"Sorin, Grim Nemesis",WB,M,5117,82.8,55.4,853,58.0%,2
"Bruna, the Fading Light",W,R,15012,77.3,55.4,2340,55.9%,2
Howlpack Resurgence,G,U,15002,47.3,55.4,2457,58.6%,1
Call the Bloodline,B,U,24784,67.0,55.4,4363,56.8%,2
Essence Flux,U,C,37530,40.2,55.4,5892,55.1%,1
Mausoleum Wanderer,U,R,6909,64.1,55.3,1222,61.7%,2
Gisa's Bidding,B,C,79605,74.1,55.3,13298,57.2%,2
Stitcher's Graft,,R,3991,37.4,55.3,640,57.3%,1
Insolent Neonate,R,C,60936,63.7,55.3,10903,57.8%,2
Hinterland Logger,G,C,70232,79.9,55.2,12597,55.9%,2
Weirded Vampire,B,C,56310,59.7,55.2,9253,54.2%,1
Falkenrath Noble,B,U,6436,83.1,55.2,1051,58.0%,2
Foreboding Ruins,,U,22028,61.8,55.2,4143,56.9%,2
Ravenous Bloodseeker,R,C,75634,69.9,55.2,13354,55.7%,2
Obsessive Skinner,G,C,98400,82.4,55.1,17218,55.1%,2
Make Mischief,R,C,38152,35.6,55.1,6339,55.5%,1
Alchemist's Greeting,R,C,87497,83.1,55.0,14379,54.5%,2
Lupine Prototype,,U,6016,18.7,55.0,1091,54.6%,1
Drag Under,U,C,101525,82.4,54.9,17676,54.6%,2
"Olivia, Mobilized for War",BR,M,4253,73.7,54.9,760,59.6%,2
Voldaren Pariah,B,R,15574,82.1,54.9,2532,56.7%,2
"Nahiri, the Harbinger",WR,M,3975,69.8,54.9,685,59.7%,2
"Liliana, the Last Hope",B,M,4413,80.0,54.9,780,62.4%,2
Gnarlwood Dryad,G,C,83789,75.4,54.9,14704,58.0%,2
Burn from Within,R,R,11430,87.1,54.9,1905,55.4%,2
Village Messenger,R,U,21466,66.6,54.8,3893,60.9%,2
Grapple with the Past,G,C,62100,54.0,54.8,10802,55.0%,1
Byway Courier,G,C,97783,83.4,54.8,16931,54.4%,2
"Ishkanah, Grafwidow",G,M,5168,82.7,54.8,850,58.2%,2
Tragic Slip,B,C,3569,71.4,54.7,608,55.6%,2
Port Town,,U,21047,54.8,54.7,3887,56.1%,1
Insatiable Gorgers,R,C,46726,52.5,54.7,7438,53.4%,1
Ulrich's Kindred,R,U,18765,57.0,54.6,3237,54.2%,1
Confront the Unknown,G,C,58420,53.7,54.6,9527,53.8%,1
Mad Prophet,R,U,20164,55.9,54.6,3265,52.8%,1
Elder Cathar,W,C,22373,62.2,54.6,3752,52.2%,2
Deathcap Cultivator,G,U,33084,85.6,54.6,5876,56.6%,2
Bump in the Night,B,C,5359,17.9,54.6,833,51.4%,1
Vessel of Nascency,G,U,27611,63.4,54.6,4847,56.5%,2
Howlpack Wolf,R,C,38754,44.0,54.6,6588,54.9%,1
Falkenrath Aristocrat,BR,M,920,84.4,54.6,158,,2
Deranged Whelp,R,C,63469,65.8,54.5,11126,54.7%,2
Invisible Stalker,U,U,1180,54.0,54.5,211,,1
Stensia Masquerade,R,U,19013,62.3,54.5,3119,54.8%,2
Rise from the Tides,U,U,28737,66.4,54.4,4752,51.0%,2
Geier Reach Bandit,R,U,21405,74.5,54.4,3727,55.8%,2
Moonmist,G,C,5155,15.9,54.4,758,51.5%,1
Faithbearer Paladin,W,C,39416,43.6,54.4,6198,53.8%,1
Docent of Perfection,U,R,18115,85.1,54.4,3021,56.0%,2
Ulrich of the Krallenhorde,RG,R,15613,77.1,54.3,2588,58.2%,2
Bloodline Keeper,B,M,2207,86.4,54.3,380,,2
Subjugator Angel,W,U,18757,63.0,54.3,2783,52.2%,2
Falkenrath Gorger,R,R,7013,69.1,54.3,1289,58.0%,2
Requiem Angel,W,R,2371,86.2,54.3,355,,2
Brimstone Volley,R,U,1836,82.7,54.2,326,,2
Westvale Abbey,,R,15878,90.7,54.2,2700,53.7%,2
Ulvenwald Hydra,G,R,9300,82.9,54.2,1450,56.5%,2
Shrill Howler,G,U,26151,81.0,54.2,4487,53.2%,2
"Emrakul, the Promised End",,M,4396,76.2,54.2,682,52.6%,1
Murder of Crows,U,U,5402,72.9,54.1,884,52.3%,1
Kruin Outlaw,R,R,3864,79.7,54.1,684,49.9%,2
Pore Over the Pages,U,U,26098,65.8,54.0,4218,52.6%,1
Puncturing Light,W,C,38476,49.3,53.9,6548,52.2%,1
Spirit of the Hunt,G,R,7792,71.3,53.9,1368,55.9%,1
Geralf's Masterpiece,U,R,9478,80.1,53.9,1531,56.6%,1
Ulvenwald Captive,G,C,66896,81.9,53.9,11948,55.1%,1
Confirm Suspicions,U,R,7334,61.4,53.9,1120,52.8%,1
Haunted Dead,B,U,26291,75.3,53.8,4278,54.5%,1
Mirrorwing Dragon,R,M,5169,83.8,53.8,856,56.9%,1
Conduit of Storms,R,C,47967,68.0,53.7,8298,54.6%,1
Game Trail,,U,18349,52.1,53.7,3325,56.7%,1
Pieces of the Puzzle,U,U,15336,41.4,53.7,2570,53.8%,1
Cackling Counterpart,U,R,3566,70.5,53.7,541,52.1%,1
Bedlam Reveler,R,R,8419,75.5,53.7,1334,53.2%,1
Fiend Binder,W,C,31488,38.7,53.7,4972,51.1%,1
Take Inventory,U,C,59997,56.3,53.7,10701,54.1%,1
Hope Against Hope,W,U,10080,36.3,53.6,1525,51.5%,1
Kindly Stranger,B,U,25437,74.2,53.5,4329,52.6%,1
Elder Deep-Fiend,,R,9081,78.0,53.5,1445,54.0%,1
Young Wolf,G,C,9137,54.0,53.5,1665,54.1%,1
Ingenious Skaab,U,C,68851,65.4,53.4,11938,54.8%,1
Distended Mindbender,,R,8131,73.1,53.4,1325,54.7%,1
Erdwal Illuminator,U,U,28341,74.2,53.3,5046,57.1%,1
Gatstaf Arsonists,R,C,29815,45.1,53.3,4679,52.6%,1
Arlinn Kord,RG,M,7351,77.1,53.3,1236,57.4%,1
Sage of Ancient Lore,G,R,14924,79.5,53.3,2412,52.2%,1
Ulvenwald Mysteries,G,U,29897,80.3,53.3,5140,51.8%,1
Decimator of the Provinces,,M,4294,75.0,53.3,644,52.6%,1
Pyre Hound,R,C,47040,54.5,53.2,7624,52.6%,1
Accursed Witch,B,U,21756,71.4,53.2,3702,55.4%,1
Anguished Unmaking,WB,U,13505,47.9,53.2,2222,50.5%,1
Curious Homunculus,U,U,21831,64.1,53.2,3849,53.7%,1
Geier Reach Sanitarium,,R,4206,47.3,53.2,709,52.3%,1
Fogwalker,U,C,38844,45.6,53.2,6786,52.3%,1
Shreds of Sanity,R,U,17406,44.8,53.1,2645,49.0%,1
Dawn Gryff,W,C,20908,26.8,53.1,3635,50.6%,0
Graf Mole,G,U,23649,59.1,53.0,4083,54.0%,0
Gnaw to the Bone,G,C,9113,23.8,53.0,1440,49.6%,0
Noosegraf Mob,B,R,7595,74.3,53.0,1203,53.4%,1
Haunted Fengraf,,C,14523,43.1,53.0,2348,50.4%,0
Traverse the Ulvenwald,G,R,5761,60.6,53.0,1054,51.5%,0
Harvest Hand,,U,11473,41.3,53.0,1944,50.9%,0
Rush of Adrenaline,R,C,25522,29.3,52.9,4040,52.4%,0
Hanweir Battlements,,R,6717,43.2,52.9,1069,50.9%,0
Scourge Wolf,R,U,20000,66.2,52.8,3486,51.5%,0
"Tamiyo, Field Researcher",WUG,M,3732,66.4,52.8,625,52.3%,0
Goldnight Castigator,R,M,3325,66.7,52.8,524,54.6%,0
Ember-Eye Wolf,R,C,36690,44.9,52.7,6577,51.3%,0
Assembled Alphas,R,R,8171,77.6,52.7,1301,51.0%,1
Skirsdag Cultist,R,U,3758,52.3,52.7,632,48.3%,0
Aim High,G,C,17602,20.9,52.7,2746,50.1%,0
Alms of the Vein,B,C,17185,23.6,52.6,2720,48.5%,0
Traitorous Blood,R,C,6150,35.7,52.6,941,51.4%,0
Collective Brutality,B,R,7551,77.8,52.6,1207,53.3%,1
Humble the Brute,W,U,11732,41.5,52.6,1806,50.0%,0
Wharf Infiltrator,U,R,9055,77.8,52.5,1660,59.8%,1
Terrarion,,C,43815,41.1,52.5,7940,53.0%,0
Compelling Deterrence,U,U,22459,65.0,52.5,3774,52.9%,0
Unburial Rites,B,U,5016,41.7,52.4,756,48.5%,0
Grim Flayer,BG,R,6079,58.5,52.4,999,58.5%,0
Spontaneous Mutation,U,C,56005,53.2,52.4,9053,50.4%,0
Mindwrack Demon,B,M,4359,76.6,52.4,714,56.3%,1
Reaper of Flight Moonsilver,W,U,8146,29.1,52.3,1212,49.3%,0
Seasons Past,G,M,3544,60.4,52.3,504,46.6%,0
Flameblade Angel,R,R,7076,76.9,52.3,1109,50.0%,1
Thing in the Ice,U,R,12859,70.1,52.3,2313,56.8%,0
Jace's Scrutiny,U,C,67992,61.7,52.2,11480,50.2%,0
Ghoulcaller's Accomplice,B,C,53860,61.8,52.2,9578,52.9%,0
Drownyard Explorers,U,C,55118,53.1,52.2,9214,51.5%,0
Relentless Dead,B,M,2926,65.6,52.2,506,56.7%,0
Nahiri's Wrath,R,M,3274,66.2,52.1,522,51.9%,0
Choked Estuary,,U,17089,47.4,52.1,3054,52.9%,0
Forge Devil,R,C,795,16.2,52.1,142,,0
Mercurial Geists,UR,U,21192,56.1,52.0,3530,51.8%,0
Crawling Sensation,G,U,12618,34.6,52.0,2115,53.6%,0
Magmatic Chasm,R,C,6351,7.8,51.9,951,47.2%,0
Crow of Dark Tidings,B,C,41383,47.4,51.9,7207,52.2%,0
Borrowed Hostility,R,C,18524,22.7,51.9,2858,52.1%,0
Blood Mist,R,U,9085,34.8,51.9,1446,53.0%,0
Borrowed Malevolence,B,C,23063,27.8,51.8,3779,51.6%,0
Briarbridge Patrol,G,C,47312,54.3,51.8,7738,50.7%,0
Eternal Scourge,,R,5750,64.1,51.8,1032,51.0%,0
Ongoing Investigation,U,U,24131,62.5,51.6,4096,51.8%,0
Somberwald Sage,G,U,705,41.5,51.6,132,,0
Bloodflow Connoisseur,B,C,7846,43.6,51.6,1318,49.1%,0
Wild-Field Scarecrow,,C,29384,34.1,51.5,5187,49.9%,0
Field Creeper,,C,15221,15.7,51.5,2650,50.6%,0
Divine Reckoning,W,R,1671,46.7,51.3,289,,0
Grotesque Mutation,B,C,15199,20.2,51.3,2392,50.4%,0
Midnight Scavengers,B,U,18409,67.4,51.3,2899,50.0%,0
Weirding Wood,G,C,31740,36.0,51.0,5521,51.5%,0
Epitaph Golem,,C,21589,21.9,51.0,3353,45.0%,0
Ruthless Disposal,B,U,14083,46.9,51.0,2143,49.5%,0
Certain Death,B,C,30201,37.0,51.0,4624,48.6%,0
Wretched Gryff,,C,44925,49.2,50.7,7168,49.0%,0
Mournwillow,BG,U,8636,28.6,50.7,1398,48.2%,0
Fevered Visions,UR,R,4068,37.2,50.6,685,50.7%,0
Bloodbriar,G,C,37713,41.7,50.6,6457,50.7%,0
Daring Sleuth,U,U,17257,56.5,50.5,2971,50.6%,0
Barter in Blood,B,U,572,37.7,50.5,104,,0
Exultant Cultist,U,C,39598,44.2,50.4,6912,51.5%,0
Abundant Maw,,U,10275,34.3,50.4,1673,46.2%,0
Epiphany at the Drownyard,U,R,6049,57.6,50.4,955,47.7%,0
Demonmail Hauberk,,U,1112,17.2,50.4,159,,0
Hollowhenge Scavenger,G,C,5589,32.2,50.3,899,50.2%,0
Ever After,B,R,5406,59.7,50.3,829,46.9%,0
Cryptolith Fragment,,U,10598,44.4,50.3,1888,48.1%,0
Startled Awake,U,M,5039,62.6,50.2,879,46.9%,0
Groundskeeper,G,U,6337,19.0,50.2,1050,47.8%,0
Altered Ego,UG,R,6551,57.5,50.1,1031,46.9%,0
Geist of the Archives,U,C,28559,33.3,50.0,4972,48.6%,0
Eldritch Evolution,G,R,1198,15.9,50.0,176,,0
Triskaidekaphobia,B,R,1510,16.2,49.9,245,,0
Imprisoned in the Moon,U,C,38144,52.6,49.8,6383,46.9%,0
Permeating Mass,G,R,2528,29.5,49.8,439,,0
Graf Rats,B,C,16870,26.4,49.8,3001,48.9%,0
Laboratory Brute,U,C,18430,19.8,49.8,2972,50.3%,0
Gisa and Geralf,UB,M,2313,50.0,49.7,418,,0
Deny Existence,U,C,17512,21.7,49.5,2853,48.9%,0
Murderer's Axe,,U,3374,11.2,49.5,535,42.4%,0
Mockery of Nature,,U,8226,28.0,49.3,1262,45.4%,0
Swift Spinner,G,C,6555,8.6,49.1,981,45.9%,0
Tamiyo's Journal,,R,5223,63.9,49.1,855,46.9%,0
Summary Dismissal,U,R,1412,14.8,49.1,212,,0
Dusk Feaster,B,U,7939,31.1,48.9,1155,46.4%,0
Gutter Grime,G,R,1504,70.1,48.9,256,,0
Morkrut Necropod,B,C,4523,5.8,48.9,664,48.5%,0
Advanced Stitchwing,U,U,14778,51.7,48.8,2331,48.4%,0
Manic Scribe,U,U,14880,46.7,48.8,2513,45.2%,0
Merciless Resolve,B,C,13377,18.0,48.7,2113,46.0%,0
Drownyard Behemoth,,U,9537,30.4,48.7,1458,45.3%,0
Forgotten Creation,U,R,5403,61.6,48.6,880,48.8%,0
Thraben Foulbloods,B,C,22242,31.3,48.4,3849,47.3%,0
Liliana's Elite,B,C,22783,35.3,48.4,3747,45.3%,0
Gavony Unhallowed,B,C,20608,32.0,48.3,3355,47.7%,0
Fleeting Memories,U,U,14269,41.1,47.9,2426,43.4%,0
Tree of Perdition,B,R,1486,20.1,47.9,250,,0
Havengul Runebinder,U,R,2979,65.8,47.9,473,,0
Diregraf Colossus,B,R,4586,56.2,47.8,802,48.8%,0
Drunau Corpse Trawler,U,U,11214,37.7,47.8,1861,46.3%,0
Biting Rain,B,U,6353,24.8,47.7,1040,46.4%,0
Prized Amalgam,UB,R,2218,26.5,47.4,367,,0
Graf Harvest,B,U,5915,24.2,47.2,1035,45.6%,0
Soul Separator,,U,1453,5.0,46.9,200,,0
Stitcher's Apprentice,U,C,3821,21.2,46.9,647,47.3%,0
Diregraf Captain,UB,U,5593,50.2,46.8,936,47.1%,0
Second Harvest,G,R,589,6.7,46.5,85,,0
Magnifying Glass,,C,5636,7.9,46.5,941,41.7%,0
Ghoulraiser,B,C,11739,39.3,46.5,1902,42.8%,0
Brain in a Jar,,U,1292,4.3,46.2,208,,0
Mind's Dilation,U,M,1680,40.9,46.1,268,,0
Cryptolith Rite,G,R,1567,21.6,45.2,268,,0
Selhoff Occultist,U,C,3120,19.5,44.3,544,42.3%,0
Pick the Brain,B,U,570,2.0,44.2,90,,0
Invasive Surgery,U,U,688,2.3,43.3,111,,0
A-Syndicate Infiltrator,UB,U,894,84.5,64.2,149,,4
A-Deal Gone Bad,B,C,2280,80.6,63.8,358,,4
"A-Queza, Augur of Agonies",WUB,U,870,81.2,63.8,167,,4
A-Glamorous Outlaw,UBR,C,2368,74.0,62.9,424,,4
A-Shattered Seraph,WUB,C,1444,56.5,62.2,248,,3
A-Revel Ruiner,B,C,842,42.2,61.6,154,,2
A-Celestial Regulator,WU,C,2015,74.2,61.3,359,,4
A-Spara's Adjudicators,WUG,C,2976,76.3,60.9,512,58.8%,4
A-Glittermonger,G,C,563,42.1,60.7,95,,2
A-Ominous Parcel,,C,1322,52.5,60.7,275,,3
Sanctuary Warden,W,M,20209,94.4,60.6,3324,67.1%,4
A-Civil Servant,WG,C,2502,81.4,60.6,410,,4
All-Seeing Arbiter,U,M,21308,94.0,60.2,3661,65.7%,4
A-Buy Your Silence,W,C,905,49.0,60.1,144,,3
A-Metropolis Angel,WU,U,756,82.8,59.8,119,,4
Disciplined Duelist,WUG,U,124306,85.1,59.4,21357,64.2%,4
A-Psionic Snoop,U,C,540,25.2,59.1,84,,2
Inspiring Overseer,W,C,396265,95.2,58.9,71298,62.0%,4
A-Exhibition Magician,R,C,1510,76.6,58.6,259,,3
Mage's Attendant,W,U,118314,91.4,58.5,20802,61.5%,3
A-Forge Boss,BR,U,520,69.1,58.5,89,,3
"Lagrella, the Magpie",WUG,U,118080,83.9,58.4,19761,59.5%,3
Psychic Pickpocket,U,U,144669,93.7,58.3,23717,59.9%,3
Raffine's Informant,W,C,412706,92.6,58.2,74928,61.4%,3
Elspeth Resplendent,W,M,18741,93.6,58.1,3137,62.2%,3
A-Warm Welcome,G,C,855,44.1,58.1,127,,2
A-Speakeasy Server,W,C,1132,50.4,58.1,193,,2
Out of the Way,U,U,142547,88.9,58.1,23523,58.3%,3
Hostile Takeover,UBR,R,41299,84.0,58.1,6964,62.0%,3
"Raffine, Scheming Seer",WUB,M,16025,84.8,58.1,2749,67.7%,3
Citizen's Crowbar,W,U,129902,92.4,58.1,22977,60.7%,3
Exotic Pets,WU,U,117457,88.7,57.9,20009,59.2%,3
Mysterious Limousine,W,R,40443,90.2,57.9,6506,60.7%,3
Brokers Hideout,,C,354735,92.0,57.9,65864,60.1%,3
Gathering Throng,W,C,252855,61.9,57.9,42202,55.6%,2
"Falco Spara, Pactweaver",WUG,M,16445,85.1,57.8,2831,59.7%,3
"Rigo, Streetwise Mentor",WUG,R,34803,87.5,57.8,5940,61.0%,3
Reservoir Kraken,U,R,39749,93.8,57.7,6882,63.7%,3
A-Celebrity Fencer,W,C,875,67.9,57.7,144,,2
Brokers Charm,WUG,U,90567,78.9,57.7,14936,57.2%,3
Titan of Industry,G,M,16367,87.0,57.7,2597,64.2%,3
Sleep with the Fishes,U,U,124166,89.6,57.7,20332,57.9%,3
Brokers Ascendancy,WUG,R,39661,91.9,57.5,6806,64.4%,3
Corpse Appraiser,UBR,U,98444,73.1,57.5,16513,60.9%,2
Make Disappear,U,C,254347,64.7,57.5,43858,59.3%,2
Civil Servant,WG,C,304480,87.3,57.5,53088,60.9%,3
Jewel Thief,G,C,298526,91.4,57.4,53725,62.0%,3
Run Out of Town,U,C,251697,61.6,57.4,40489,55.5%,2
Rabble Rousing,W,R,41304,95.3,57.4,6984,60.6%,3
Workshop Warchief,G,R,35243,91.7,57.3,5770,59.9%,3
Illuminator Virtuoso,W,U,113070,89.2,57.3,20435,61.2%,3
Spara's Adjudicators,WUG,C,268752,77.4,57.3,47389,55.5%,3
"Giada, Font of Hope",W,R,36590,91.2,57.2,6665,64.3%,3
Majestic Metamorphosis,U,C,290958,69.5,57.2,47239,55.6%,2
Celestial Regulator,WU,C,295313,89.6,57.2,50701,56.3%,3
Skybridge Towers,,C,321511,90.8,57.2,59116,59.3%,3
Extraction Specialist,W,R,36514,90.6,57.2,6249,59.0%,3
Ledger Shredder,U,R,38203,93.1,57.2,7105,60.7%,3
Knockout Blow,W,U,105325,91.1,57.2,17661,56.5%,3
Maestros Diabolist,UBR,R,29627,76.4,57.1,5001,63.6%,3
Backup Agent,W,C,339025,91.3,57.0,59831,56.9%,3
A-Midnight Assassin,B,C,682,53.0,56.9,119,,1
Wingshield Agent,U,U,107073,89.1,56.9,18578,58.5%,3
Fight Rigging,G,R,38050,94.0,56.8,6721,63.1%,3
For the Family,G,C,165727,53.9,56.8,26273,56.3%,1
Botanical Plaza,,C,288904,89.1,56.8,53553,59.1%,3
Obscura Storefront,,C,314381,89.2,56.8,57625,59.0%,3
Echo Inspector,U,C,336491,92.6,56.7,57252,56.7%,3
Revelation of Power,W,C,154369,48.2,56.7,24378,54.6%,1
Night Clubber,B,U,120065,90.9,56.7,21254,58.6%,3
Darling of the Masses,WG,U,93072,91.0,56.7,15847,59.0%,3
Luxurious Libation,G,U,102598,86.1,56.7,16364,56.3%,3
Swooping Protector,W,U,105005,89.9,56.7,17379,56.6%,3
Spara's Headquarters,,R,32783,89.8,56.6,6143,58.3%,3
Hypnotic Grifter,U,U,105489,85.5,56.6,18824,58.8%,3
Sky Crier,W,C,290072,86.7,56.6,52266,57.0%,3
Dapper Shieldmate,W,C,175061,59.6,56.5,28464,56.1%,1
A-Sewer Crocodile,U,C,583,25.4,56.4,104,,1
Fleetfoot Dancer,WRG,R,25249,79.9,56.4,4232,62.7%,3
Endless Detour,WUG,R,19844,60.7,56.4,3152,55.5%,1
Elegant Entourage,G,U,93319,90.2,56.3,15591,57.6%,3
Cleanup Crew,G,U,93387,86.4,56.3,14431,57.1%,3
Hold for Ransom,W,C,249906,87.3,56.3,42228,54.7%,3
Shakedown Heavy,B,R,35345,92.3,56.2,6396,63.9%,3
Grisly Sigil,B,U,102519,78.6,56.2,17385,56.3%,3
Warm Welcome,G,C,141408,49.2,56.2,24060,55.6%,1
Slip Out the Back,U,U,52478,53.9,56.1,8385,55.3%,1
Expendable Lackey,U,C,272945,77.2,56.1,46924,55.9%,3
Cabaretti Courtyard,,C,250782,84.8,56.0,46013,58.0%,3
Gala Greeters,G,R,31402,90.4,56.0,5837,62.5%,3
Riveteers Decoy,G,U,94598,85.5,56.0,16770,56.2%,3
Undercover Operative,U,R,36442,89.6,56.0,6072,54.3%,3
A-Riveteers Initiate,R,C,901,56.4,55.9,167,,1
Soul of Emancipation,WUG,R,32377,82.6,55.9,5006,55.7%,2
Girder Goons,B,C,340037,87.3,55.8,56413,56.4%,2
Rooftop Nuisance,U,C,255077,71.0,55.8,42254,52.2%,2
Voice of the Vermin,G,U,87088,87.6,55.8,14403,57.1%,2
A-Rakish Revelers,WRG,C,873,43.2,55.8,175,,1
Ceremonial Groundbreaker,WG,U,77968,74.7,55.8,12970,53.7%,2
Park Heights Pegasus,WG,R,25815,83.4,55.7,4448,56.2%,2
Obscura Interceptor,WUB,R,25548,72.6,55.7,4129,58.5%,2
Bouncer's Beatdown,G,U,91278,88.0,55.7,14942,54.6%,2
Caldaia Strongarm,G,C,203084,77.6,55.7,33006,55.2%,2
Raffine's Guidance,W,C,64557,24.5,55.7,10280,54.5%,1
"Jetmir, Nexus of Revels",WRG,M,13322,79.5,55.6,2246,56.5%,2
"Ob Nixilis, the Adversary",BR,M,15823,87.7,55.6,2721,59.5%,2
Quick-Draw Dagger,,C,205823,59.6,55.6,33432,54.3%,1
Professional Face-Breaker,R,R,31160,91.1,55.6,5518,61.8%,2
"Toluz, Clever Conductor",WUB,R,33963,88.4,55.6,5904,57.6%,2
Maestros Theater,,C,267244,83.4,55.5,49311,57.5%,2
Refuse to Yield,W,U,24565,29.8,55.5,3862,54.6%,1
Tenacious Underdog,B,R,32632,89.7,55.5,5854,61.1%,2
Metropolis Angel,WU,U,85206,88.3,55.5,14037,54.6%,2
Maestros Charm,UBR,U,70656,69.8,55.5,11744,55.2%,2
Civic Gardener,G,C,168198,65.4,55.4,29889,56.1%,2
Speakeasy Server,W,C,200344,72.7,55.4,31350,52.7%,2
"Ziatora, the Incinerator",BRG,M,14188,81.9,55.4,2351,58.6%,2
Boon of Safety,W,C,90468,36.7,55.4,14320,54.2%,1
